cluster,relevance_bucket,evidence_rows,top_subjects,signal_mix,description
reliability_truthfulness,today,14,scrapegraphai:3; crawl4ai:2; browser-use:2; webclaw:2; trafilatura:1,complaint:14,"Jobs say they worked, but output is empty, partial, hanging, or brittle under normal pressure."
dynamic_pages_and_renderer_visibility,today,21,crawl4ai:5; browser-use:3; teracrawl:3; webclaw:2; firecrawl:2,complaint:13; feature_request:6; signal:1; workaround:1,"Users need clear behavior on JS-heavy pages, SPA waits, hydration, and browser-path truth."
document_fidelity_and_structure,today,51,trafilatura:8; crawl4ai:7; mozilla-readability:6; jina-reader:5; firecrawl:4,complaint:33; feature_request:9; signal:6; praise:3,"Successful extraction still damages tables, headings, lists, code blocks, OCR layout, or document hierarchy."
debugging_and_replay_visibility,today,15,firecrawl:3; playwright-mcp:3; browser-use:2; batch_jobs_retries_and_observability:2; apify-crawlee:1,complaint:8; feature_request:5; praise:2,"Users want visible traces, queue truth, retry clarity, replay, selectors, and stronger debugging evidence."
onboarding_and_honeymoon_gap,today,22,firecrawl:4; jina-reader:3; crawl4ai:3; browser-use:3; scrapegraphai:3,complaint:13; praise:8; feature_request:1,"The first demo is easy, but the first real workflow exposes setup friction or trust decay."
structured_extraction_and_schema_control,soon,7,firecrawl:4; scrapegraphai:1; jina-reader:1; multilingual_docs:1,complaint:4; feature_request:2; praise:1,"Users want schema-safe JSON, visible-only extraction, table-aware parsing, and richer structured outputs."
pricing_and_token_predictability,soon,15,firecrawl:4; jina-reader:2; browser-use:2; webclaw:2; browserpilot:1,complaint:10; praise:4; feature_request:1,"Credit shape, token spikes, and unclear recurring cost weaken buying confidence."
batch_and_job_control,soon,4,apify-crawlee:2; trafilatura:1; firecrawl_vs_crawl4ai:1,complaint:3; workaround_signal:1,"Users need deterministic filenames, reruns, queue state, and predictable long-job control."
agent_packaging_and_mcp_setup,soon,21,playwright-mcp:8; crawl4ai-mcp:5; crawl4ai-mcp-server:3; webclaw:2; jina-reader:1,complaint:18; feature_request:2; praise:1,"Local-hosting clarity, MCP transport stability, setup completeness, and agent-readable packaging matter."
authenticated_extraction_and_session_state,later,13,authenticated_pages_and_session_reuse:3; firecrawl:2; browser-use:2; playwright-mcp:2; scrapegraphai:1,complaint:6; feature_request:3; signal:2; workaround:1; praise:1,"Login flows, cookies, profiles, and persisted browser state remain fragile."
anti_bot_and_protected_site_pressure,later,22,firecrawl:4; webclaw:3; teracrawl:3; jina-reader:2; browserpilot:2,complaint:16; feature_request:3; praise:2; signal:1,"Cloudflare, fingerprinting, proxies, and hostile pages push tools into failure or expensive fallback."
deep_research_and_enrichment,later,1,scrapegraphai:1,praise:1,"Users want multi-step search, map, browse, and enrichment after the first scrape works."
thin_signal_market_uncertainty,market_watch,34,webclaw:9; webpeel:8; crw:8; webustler:2; crawl4ai-mcp-server:1,source_gap:18; signal:16,"Some competitors show polished official surfaces but weak public complaint depth, creating uncertainty."
other,unbucketed,19,crw:6; browserpilot:3; browser-use:2; mozilla-readability:2; teracrawl:2,praise:9; feature_request:5; workaround:3; signal:2,Signals that do not fit the main buckets cleanly.
