"entity","cluster","official_product_url","official_docs_url","official_github_url","current_positioning","free_tier_or_status","lowest_paid_or_visible_commercial_entry","onboarding_signal","stage1_mismatch_or_stale_risk","stale_risk"
"Firecrawl","direct_product","https://www.firecrawl.dev/","https://docs.firecrawl.dev/","https://github.com/firecrawl/firecrawl","Web data API to search, scrape, and clean the web for AI agents.","Free plan shows 1000 credits/month.","Hobby at $16/month billed yearly with 5000 credits/month.","Agent-first onboarding is explicit via agent-onboarding skill link.","Workbook free tier is stale and official sources conflict between pricing page and billing docs.","high"
"Jina Reader","direct_product","https://jina.ai/en-US/reader/","https://jina.ai/en-US/reader/","https://github.com/jina-ai/reader","Convert any URL to LLM-friendly text, with search through s.jina.ai.","Basic usage is free; 20 RPM without key and 500 RPM with free API key are visible.","[Unverified] I cannot verify this.","Prefix-based usage is extremely low-friction and GitHub points to interactive snippet builder.","Workbook paid bundle pricing was not visibly confirmed; workbook may bundle Reader with broader Jina surfaces too aggressively.","medium"
"Apify","direct_product","https://apify.com/","https://docs.apify.com/platform","https://github.com/apify/crawlee","Cloud platform and marketplace for web data extraction and automation Actors.","Free at $0 with $5 to spend in Apify Store or on your own Actors.","Starter at $29/month.","UI-first template and Actor Store onboarding is visible in official docs.","Workbook paid entry still matches, but CU pricing and free-plan detail drifted.","medium"
"Browser Use","hybrid_or_adjacent_commercial","https://browser-use.com/","https://docs.cloud.browser-use.com/","https://github.com/browser-use/browser-use","Browser automation and web agents across open source and hosted cloud browsers.","Try 5 prompts for free is visible; older free-plan framing is gone.","Pay as you go with credit purchases and subscription tiers is current.","Strong cloud-signup funnel with separate open-source and cloud docs.","Workbook pricing shape is materially stale on free tier, concurrency, timeout, and starter plan framing.","high"
"ScrapeGraphAI","direct_product","https://scrapegraphai.com/","https://docs.scrapegraphai.com/","https://github.com/ScrapeGraphAI/Scrapegraph-ai","AI-first scraping platform with hosted API plus open-source ecosystem.","Free at $0 with 500 API credits/month, 10 requests/min, 1 monitor, 1 concurrent crawl.","Starter at $17/month.","Interactive playground, notebooks, and dashboard API-key flow are explicit.","Workbook free tier drifted from one-time credits to monthly credits, and older v1 endpoint names are deprecated.","medium"
"Webclaw","direct_product","https://webclaw.io/","https://webclaw.io/docs/getting-started","https://github.com/0xMassi/webclaw","Rust-based local-first web extraction for LLMs with hosted mode when needed.","Free at 500 pages/month.","Starter at $19/month in cloud docs; homepage also shows trial-oriented pricing presentation.","Docs promise first extraction in under a minute and cloud flow is straightforward.","Workbook description as pure HTTP only is stale; live product now includes browser actions, screenshots, JS rendering, search, and watches.","high"
"WebPeel","direct_product","https://webpeel.dev/","https://webpeel.dev/","https://github.com/webpeel/webpeel","Web data layer for AI agents with fetch, search, crawl, extract, screenshot, and monitoring.","Free at 500 fetches/week and no card required.","Pro at $9/month; Max at $29/month.","Live demo without signup and three-lines-to-start messaging are strong onboarding signals.","Workbook is stale or internally inconsistent on MCP count and extractor count.","medium"
"CRW","direct_product","https://fastcrw.com/","https://docs.fastcrw.com/","https://github.com/us/crw","Open-source Firecrawl/Tavily alternative with self-hosted and managed cloud modes.","Free at 500 credits/month.","Hobby at $13/month launch price, with higher regular price also shown.","Curl-first docs, public playground, and one-line install script are explicit.","Workbook overstates exposed endpoint or output surface and contains time-sensitive launch pricing.","medium"
"Crawl4AI","hybrid_or_adjacent_commercial","https://crawl4ai.com/","https://docs.crawl4ai.com/","https://github.com/unclecode/crawl4ai","Open-source LLM-friendly crawler and scraper with hosted cloud still positioned as closed beta or launching soon.","Self-hosted OSS use is clearly free.","[Unverified] I cannot verify this.","OSS quick starts and CLI onboarding are strong; hosted flow is waitlist-style.","Workbook cloud pricing anchors are high stale-risk because accessible official pages do not expose readable public pricing in this pass.","high"
"TeraCrawl","hybrid_or_adjacent_commercial","https://browser.cash/developers","https://docs.browser.cash/docs/introduction/what-is-browser-cash","https://github.com/BrowserCash/teracrawl","Remote-browser-backed crawler/scraper API for LLMs, powered by Browser.cash.","No independent TeraCrawl free plan card was visible.","Browser Cash shows usage pricing such as browser-as-a-service at $0.09/hr.","Developer-heavy quick start requiring Node.js, API key, clone, and npm install.","Workbook says pay-per-request and no product URL; current official backing platform is Browser.cash and pricing appears usage-based by time or tokens.","medium"
"BrowserPilot","hybrid_or_adjacent_commercial","https://pilotbrowser.vercel.app/","","https://github.com/ai-naymul/BrowserPilot","Vision-first open-source browser automation and scraping product.","Self-run open-source status is visible; no normal SaaS pricing card is shown.","Site references a pay-as-you-go model, but repo requires your own API key and proxies.","Docker quick start, live demo, and video demo are visible.","Workbook classification as library-only understates the live landing/demo presence; name attribution can drift.","medium"
"crawl4ai-mcp-server","enabling_tool","https://github.com/sadiuysal/crawl4ai-mcp-server","https://docs.crawl4ai.com/core/self-hosting/","https://github.com/sadiuysal/crawl4ai-mcp-server","Lightweight MCP wrapper exposing Crawl4AI tools for agents.","Self-hosted and free.","No hosted pricing visible.","Docker quick start and MCP examples are visible.","Workbook direction is mostly right, but current tool surface and first-party Crawl4AI MCP motion reduce its distinctness.","medium"
"Webustler","enabling_tool","https://github.com/drruin/webustler","","https://github.com/drruin/webustler","MCP server for extracting clean LLM-ready markdown, including Cloudflare-protected sites.","100 percent free and self-hosted.","No hosted pricing visible.","Docker install plus MCP config examples for multiple clients are visible.","Workbook business-model classification is mostly fine, but feature depth is understated.","low"
"Playwright MCP","enabling_tool","https://github.com/microsoft/playwright-mcp","https://playwright.dev/python/docs/getting-started-mcp","https://github.com/microsoft/playwright-mcp","Official Microsoft MCP server for browser automation via Playwright.","Open-source local package.","No hosted pricing visible.","Large GitHub adoption and first-party docs for major tools are visible.","Workbook license is stale; live repo shows Apache-2.0, not MIT.","high"
"Trafilatura","enabling_tool","https://trafilatura.readthedocs.io/en/latest/","https://trafilatura.readthedocs.io/en/stable/usage-cli.html","https://github.com/adbar/trafilatura","Python package and CLI for crawling, scraping, and main-text extraction.","Open-source library and CLI.","No hosted pricing visible.","Mature docs and broad integration references are visible.","Workbook license is stale; live repo shows Apache-2.0, not GPL-3.0.","high"
"Mozilla Readability","enabling_tool","https://github.com/mozilla/readability","","https://github.com/mozilla/readability","Standalone version of Firefox Reader View extraction library.","Open-source npm library.","No hosted pricing visible.","Long-lived repo, npm usage, and browser plus Node examples are visible.","Workbook classification is still directionally correct; keep it as a parsing library, not a full crawler or browser competitor.","low"
