rank,cluster,relevance_bucket,recommended_horizon,evidence_rows,complaint_rows,feature_request_rows,high_rows,unique_subjects,direct_competitor_subjects,distance_label,frequency_score,severity_score,distance_score,base_score,horizon_multiplier,composite_score,top_subjects,why_it_matters
1,document_fidelity_and_structure,today,solve_now,51,33,9,32,18,5,very_near,5.0,5.0,5,5.0,1.0,5.0,trafilatura:8; crawl4ai:7; mozilla-readability:6; jina-reader:5; firecrawl:4,"Oleriq already promises clean, exportable documents and batch document conversion, so fidelity failures hit the current product promise directly."
2,onboarding_and_honeymoon_gap,today,solve_now,22,13,1,13,9,0,very_near,2.16,1.94,5,2.79,1.0,2.79,firecrawl:4; jina-reader:3; crawl4ai:3; browser-use:3; scrapegraphai:3,Oleriq competes in a fast-first-success category where trust can collapse on the first real edge case.
3,dynamic_pages_and_renderer_visibility,today,solve_now,21,13,6,13,10,3,near,2.06,2.05,4,2.54,1.0,2.54,crawl4ai:5; browser-use:3; teracrawl:3; webclaw:2; firecrawl:2,Dynamic-page truth is adjacent to the current URL extraction promise and will matter quickly as users test harder pages.
4,reliability_truthfulness,today,solve_now,14,14,0,12,9,3,very_near,1.37,1.94,5,2.48,1.0,2.48,scrapegraphai:3; crawl4ai:2; browser-use:2; webclaw:2; trafilatura:1,"Oleriq already exposes extraction failures and batch jobs, so honest status and non-empty output are immediate trust requirements."
5,debugging_and_replay_visibility,today,solve_now,15,8,5,9,9,3,near,1.47,1.35,4,2.06,1.0,2.06,firecrawl:3; playwright-mcp:3; browser-use:2; batch_jobs_retries_and_observability:2; apify-crawlee:1,"Oleriq already has extraction and batch flows, so better failure explanation can improve trust without changing product category."
6,pricing_and_token_predictability,soon,solve_soon,15,10,1,6,9,3,medium,1.47,1.24,3,1.77,0.85,1.5,firecrawl:4; jina-reader:2; browser-use:2; webclaw:2; browserpilot:1,"Important for packaging and economics, but not the first product truth gap in the current UI."
7,agent_packaging_and_mcp_setup,soon,later_if_agent_surface_expands,21,18,2,16,7,3,medium_far,2.06,2.57,2,2.22,0.55,1.22,playwright-mcp:8; crawl4ai-mcp:5; crawl4ai-mcp-server:3; webclaw:2; jina-reader:1,Important only if Oleriq deliberately expands into agent-native surfaces.
8,anti_bot_and_protected_site_pressure,later,later_or_partnered,22,16,3,13,11,4,medium_far,2.16,2.24,2,2.15,0.55,1.18,firecrawl:4; webclaw:3; teracrawl:3; jina-reader:2; browserpilot:2,"High demand exists, but this expands scope and infrastructure burden beyond the current core promise."
9,batch_and_job_control,soon,solve_soon,4,3,0,3,3,1,near,0.39,0.44,4,1.31,0.85,1.11,apify-crawlee:2; trafilatura:1; firecrawl_vs_crawl4ai:1,"Oleriq already has a real batch surface, so deterministic job control is close to the current architecture."
10,structured_extraction_and_schema_control,soon,solve_soon,7,4,2,5,4,1,medium,0.69,0.7,3,1.27,0.85,1.08,firecrawl:4; scrapegraphai:1; jina-reader:1; multilingual_docs:1,This is a credible next-step expansion once core extraction trust is stronger.
11,authenticated_extraction_and_session_state,later,later_high_scope,13,6,3,7,8,2,far,1.27,1.01,1,1.11,0.45,0.5,authenticated_pages_and_session_reuse:3; firecrawl:2; browser-use:2; playwright-mcp:2; scrapegraphai:1,"High-scope and security-sensitive; relevant later, not first."
12,thin_signal_market_uncertainty,market_watch,market_watch,34,0,0,1,11,1,not_a_product_feature,3.33,0.06,0,1.35,0.25,0.34,webclaw:9; webpeel:8; crw:8; webustler:2; crawl4ai-mcp-server:1,"Useful as a market caution, not a feature roadmap item."
13,deep_research_and_enrichment,later,watch,1,0,0,0,1,0,far,0.1,0.0,1,0.29,0.35,0.1,scrapegraphai:1,"Expansion path after trust and fidelity, not before."
